[1204326000] LOG ROTATION: MONTHLY
[1204326000] CURRENT SERVICE STATE: backup-gbg.int.op5.se;Disk usage /;CRITICAL;HARD;3;NRPE: Command 'root_disk' not defined
[1204326000] CURRENT SERVICE STATE: backup-gbg.int.op5.se;Kernel log process;CRITICAL;HARD;3;NRPE: Command 'proc_klogd' not defined
[1204326000] CURRENT SERVICE STATE: backup-gbg.int.op5.se;PING;WARNING;HARD;3;WARNING - 192.168.1.3: rta 299.854ms, lost 0%
[1204326000] CURRENT SERVICE STATE: backup-gbg.int.op5.se;Syslog process;CRITICAL;HARD;3;NRPE: Command 'proc_syslogd' not defined
[1204326000] CURRENT SERVICE STATE: backup-gbg.int.op5.se;System Load;CRITICAL;HARD;3;NRPE: Command 'load' not defined
[1204326000] CURRENT SERVICE STATE: backup-gbg.int.op5.se;Total processes;CRITICAL;HARD;3;NRPE: Command 'total_procs' not defined
[1204326000] CURRENT SERVICE STATE: backup-gbg.int.op5.se;Zombie processes;CRITICAL;HARD;3;NRPE: Command 'zombie_procs' not defined
[1204326000] CURRENT SERVICE STATE: color-printer-sth;PING;OK;HARD;1;OK - 172.27.76.10: rta 0.277ms, lost 0%
[1204326000] CURRENT SERVICE STATE: demo.op5.com;HTTP Server;CRITICAL;HARD;1;CRITICAL - Socket timeout after 10 seconds
[1204326000] CURRENT SERVICE STATE: demo.op5.com;HTTPS Server;CRITICAL;HARD;1;CRITICAL - Socket timeout after 10 seconds
[1204326000] CURRENT SERVICE STATE: demo.op5.com;PING;CRITICAL;HARD;1;CRITICAL - demo.op5.com: rta nan, lost 100%
[1204326000] CURRENT SERVICE STATE: devel.int.op5.se;Cron process;OK;HARD;1;PROCS OK: 1 process with command name 'crond'
[1204326000] CURRENT SERVICE STATE: devel.int.op5.se;Disk usage /;OK;HARD;1;DISK OK - free space: / 6501 MB (13% inode=89%):
[1204326000] CURRENT SERVICE STATE: devel.int.op5.se;HTTP Server;OK;HARD;1;HTTP OK - HTTP/1.1 302 Found - 0.527 second response time
[1204326000] CURRENT SERVICE STATE: devel.int.op5.se;PING;OK;HARD;1;OK - 192.168.1.2: rta 377.537ms, lost 0%
[1204326000] CURRENT SERVICE STATE: devel.int.op5.se;System Load;OK;HARD;1;OK - load average: 0.00, 0.00, 0.00
[1204326000] CURRENT SERVICE STATE: devel.int.op5.se;Total processes;OK;HARD;1;PROCS OK: 49 processes
[1204326000] CURRENT SERVICE STATE: devel.int.op5.se;Zombie processes;OK;HARD;1;PROCS OK: 0 processes with STATE = Z
[1204326000] CURRENT SERVICE STATE: dhcp-gbg.int.op5.se;Cron process;OK;HARD;1;PROCS OK: 1 process with command name 'crond'
[1204326000] CURRENT SERVICE STATE: dhcp-gbg.int.op5.se;Disk usage /;OK;HARD;1;DISK OK - free space: / 5716 MB (82% inode=97%):
[1204326000] CURRENT SERVICE STATE: dhcp-gbg.int.op5.se;Kernel log process;OK;HARD;1;PROCS OK: 1 process with command name 'klogd'
[1204326000] CURRENT SERVICE STATE: dhcp-gbg.int.op5.se;PING;WARNING;HARD;3;WARNING - 192.168.1.12: rta 226.619ms, lost 0%
[1204326000] CURRENT SERVICE STATE: dhcp-gbg.int.op5.se;Syslog process;OK;HARD;1;PROCS OK: 1 process with command name 'syslogd'
[1204326000] CURRENT SERVICE STATE: dhcp-gbg.int.op5.se;System Load;OK;HARD;1;OK - load average: 0.00, 0.04, 0.00
[1204326000] CURRENT SERVICE STATE: dhcp-gbg.int.op5.se;Total processes;OK;HARD;1;PROCS OK: 68 processes
[1204326000] CURRENT SERVICE STATE: dhcp-gbg.int.op5.se;Zombie processes;OK;HARD;1;PROCS OK: 0 processes with STATE = Z
[1204326000] CURRENT SERVICE STATE: dhcp-sth.int.op5.se;Cron process;CRITICAL;HARD;1;Connection refused or timed out
[1204326000] CURRENT SERVICE STATE: dhcp-sth.int.op5.se;Disk usage /;CRITICAL;HARD;1;Connection refused or timed out
[1204326000] CURRENT SERVICE STATE: dhcp-sth.int.op5.se;Kernel log process;CRITICAL;HARD;1;Connection refused or timed out
[1204326000] CURRENT SERVICE STATE: dhcp-sth.int.op5.se;PING;CRITICAL;HARD;1;CRITICAL - 172.27.76.8: rta nan, lost 100%
[1204326000] CURRENT SERVICE STATE: dhcp-sth.int.op5.se;Syslog process;CRITICAL;HARD;1;Connection refused or timed out
[1204326000] CURRENT SERVICE STATE: dhcp-sth.int.op5.se;System Load;CRITICAL;HARD;1;Connection refused or timed out
[1204326000] CURRENT SERVICE STATE: dhcp-sth.int.op5.se;Total processes;CRITICAL;HARD;1;Connection refused or timed out
[1204326000] CURRENT SERVICE STATE: dhcp-sth.int.op5.se;Zombie processes;CRITICAL;HARD;1;Connection refused or timed out
[1204326000] CURRENT SERVICE STATE: dsl-gbg;PING;CRITICAL;HARD;3;CRITICAL - 213.88.215.13: rta nan, lost 100%
[1204326000] CURRENT SERVICE STATE: env1-sth.int.op5.se;HTTP Server;OK;HARD;1;HTTP OK HTTP/1.0 200 OK - 2112 bytes in 0.265 seconds
[1204326000] CURRENT SERVICE STATE: env1-sth.int.op5.se;Humidity - behind rack;OK;HARD;1;check_em1: OK (h=12.4 %)
[1204326000] CURRENT SERVICE STATE: env1-sth.int.op5.se;PING;OK;HARD;1;OK - 172.27.76.22: rta 12.762ms, lost 0%
[1204326000] CURRENT SERVICE STATE: env1-sth.int.op5.se;Temperature - behind rack;OK;HARD;1;check_em1: OK (t=27.9 C)
[1204326000] CURRENT SERVICE STATE: env1-sth.int.op5.se;Temperature - ceiling;OK;HARD;1;check_em1: OK (t=26.4 C)
[1204326000] CURRENT SERVICE STATE: friends.2me.se;Cron process;CRITICAL;HARD;1;Connection refused or timed out
[1204326000] CURRENT SERVICE STATE: friends.2me.se;Disk usage /;CRITICAL;HARD;1;CHECK_NRPE: Socket timeout after 10 seconds.
[1204326000] CURRENT SERVICE STATE: friends.2me.se;FTP;CRITICAL;HARD;1;No route to host
[1204326000] CURRENT SERVICE STATE: friends.2me.se;HTTP Server;CRITICAL;HARD;1;No route to host
[1204326000] CURRENT SERVICE STATE: friends.2me.se;HTTPS Server;CRITICAL;HARD;1;No route to host
[1204326000] CURRENT SERVICE STATE: friends.2me.se;IMAP over SSL;CRITICAL;HARD;1;No route to host
[1204326000] CURRENT SERVICE STATE: friends.2me.se;IMAPv2;CRITICAL;HARD;1;No route to host
[1204326000] CURRENT SERVICE STATE: friends.2me.se;Kernel log process;CRITICAL;HARD;1;Connection refused or timed out
[1204326000] CURRENT SERVICE STATE: friends.2me.se;PING;CRITICAL;HARD;1;CRITICAL - 193.201.96.16: rta nan, lost 100%
[1204326000] CURRENT SERVICE STATE: friends.2me.se;SMTP;CRITICAL;HARD;1;No route to host
[1204326000] CURRENT SERVICE STATE: friends.2me.se;Syslog process;CRITICAL;HARD;1;Connection refused or timed out
[1204326000] CURRENT SERVICE STATE: friends.2me.se;System Load;CRITICAL;HARD;1;Connection refused or timed out
[1204326000] CURRENT SERVICE STATE: friends.2me.se;Total processes;CRITICAL;HARD;1;Connection refused or timed out
[1204326000] CURRENT SERVICE STATE: friends.2me.se;Zombie processes;CRITICAL;HARD;1;Connection refused or timed out
[1204326000] CURRENT SERVICE STATE: gbg-fw1.int.op5.se;Cron process;OK;HARD;1;PROCS OK: 1 process with command name 'cron'
[1204326000] CURRENT SERVICE STATE: gbg-fw1.int.op5.se;Disk usage /;OK;HARD;1;DISK OK - free space: / 52860 MB (98% inode=99%):
[1204326000] CURRENT SERVICE STATE: gbg-fw1.int.op5.se;Kernel log process;OK;HARD;1;PROCS OK: 1 process with command name 'klogd'
[1204326000] CURRENT SERVICE STATE: gbg-fw1.int.op5.se;PING;WARNING;HARD;3;WARNING - 192.168.1.1: rta 259.947ms, lost 0%
[1204326000] CURRENT SERVICE STATE: gbg-fw1.int.op5.se;Syslog process;OK;HARD;1;PROCS OK: 1 process with command name 'syslogd'
[1204326000] CURRENT SERVICE STATE: gbg-fw1.int.op5.se;System Load;OK;HARD;1;OK - load average: 0.00, 0.01, 0.00
[1204326000] CURRENT SERVICE STATE: gbg-fw1.int.op5.se;Total processes;OK;HARD;1;PROCS OK: 54 processes
[1204326000] CURRENT SERVICE STATE: gbg-fw1.int.op5.se;Zombie processes;OK;HARD;1;PROCS OK: 0 processes with STATE = Z
[1204326000] CURRENT SERVICE STATE: hp-laserjet-gbg;PING;WARNING;HARD;3;WARNING - 192.168.1.16: rta 291.140ms, lost 0%
[1204326000] CURRENT SERVICE STATE: internet;Internet;OK;HARD;1;Internet is UP, basun.sunet.se responded
[1204326000] CURRENT SERVICE STATE: kontakt1.int.op5.se;CPU Load;CRITICAL;HARD;1;No route to host
[1204326000] CURRENT SERVICE STATE: kontakt1.int.op5.se;Disk usage C:;CRITICAL;HARD;1;No route to host
[1204326000] CURRENT SERVICE STATE: kontakt1.int.op5.se;Disk usage D:;CRITICAL;HARD;1;No route to host
[1204326000] CURRENT SERVICE STATE: kontakt1.int.op5.se;Mem usage;CRITICAL;HARD;1;No route to host
[1204326000] CURRENT SERVICE STATE: kontakt1.int.op5.se;PING;CRITICAL;HARD;1;CRITICAL - 172.27.76.13: rta nan, lost 100%
[1204326000] CURRENT SERVICE STATE: kontakt1.int.op5.se;Swap usage;CRITICAL;HARD;1;No route to host
[1204326000] CURRENT SERVICE STATE: ldap-sth.int.op5.se;Cron process;CRITICAL;HARD;1;Connection refused or timed out
[1204326000] CURRENT SERVICE STATE: ldap-sth.int.op5.se;Disk usage /;CRITICAL;HARD;1;Connection refused or timed out
[1204326000] CURRENT SERVICE STATE: ldap-sth.int.op5.se;Kernel log process;CRITICAL;HARD;1;Connection refused or timed out
[1204326000] CURRENT SERVICE STATE: ldap-sth.int.op5.se;LDAP;CRITICAL;HARD;1;Could not bind to the ldap-server
[1204326000] CURRENT SERVICE STATE: ldap-sth.int.op5.se;LDAP - bind DN;CRITICAL;HARD;1;Could not bind to the ldap-server
[1204326000] CURRENT SERVICE STATE: ldap-sth.int.op5.se;PING;CRITICAL;HARD;1;CRITICAL - 172.27.76.12: rta nan, lost 100%
[1204326000] CURRENT SERVICE STATE: ldap-sth.int.op5.se;Syslog process;CRITICAL;HARD;1;Connection refused or timed out
[1204326000] CURRENT SERVICE STATE: ldap-sth.int.op5.se;System Load;CRITICAL;HARD;1;Connection refused or timed out
[1204326000] CURRENT SERVICE STATE: ldap-sth.int.op5.se;Total processes;CRITICAL;HARD;1;Connection refused or timed out
[1204326000] CURRENT SERVICE STATE: ldap-sth.int.op5.se;Zombie processes;CRITICAL;HARD;1;Connection refused or timed out
[1204326000] CURRENT SERVICE STATE: linux-server1.op5.se;DNS - www.google.com;OK;HARD;1;DNS OK - 0.022 seconds response time (www.google.com.  203885 IN CNAME www.l.google.com.)
[1204326000] CURRENT SERVICE STATE: linux-server1.op5.se;DNS - www.op5.com;OK;HARD;1;DNS OK - 0.013 seconds response time (www.op5.com.  172800 IN A 193.201.96.11)
[1204326000] CURRENT SERVICE STATE: linux-server1.op5.se;DNS - www.op5.se;OK;HARD;1;DNS OK - 0.058 seconds response time (www.op5.se.  172800 IN CNAME sth-web1.op5.se.)
[1204326000] CURRENT SERVICE STATE: linux-server1.op5.se;IMAPv2;OK;HARD;1;IMAP OK - 0.011 second response time on port 143 [* OK Courier-IMAP ready. Copyright 1998-2002 Double Precision, Inc.  See COPYING for distribution information.]
[1204326000] CURRENT SERVICE STATE: linux-server1.op5.se;PING;OK;HARD;1;OK - 193.201.96.2: rta 1.156ms, lost 0%
[1204326000] CURRENT SERVICE STATE: linux-server1.op5.se;SMTP;OK;HARD;1;SMTP OK - 0.125 sec. response time
[1204326000] CURRENT SERVICE STATE: log.int.op5.se;Cron process;OK;HARD;1;PROCS OK: 1 process with command name 'crond'
[1204326000] CURRENT SERVICE STATE: log.int.op5.se;Disk usage /;OK;HARD;1;DISK OK - free space: / 27655 MB (84% inode=99%):
[1204326000] CURRENT SERVICE STATE: log.int.op5.se;HTTP Server;OK;HARD;1;HTTP OK HTTP/1.1 200 OK - 28251 bytes in 5.263 seconds
[1204326000] CURRENT SERVICE STATE: log.int.op5.se;HTTPS Server;OK;HARD;1;HTTP OK HTTP/1.1 200 OK - 28251 bytes in 5.203 seconds
[1204326000] CURRENT SERVICE STATE: log.int.op5.se;PING;OK;HARD;1;OK - 172.27.76.16: rta 2.816ms, lost 0%
[1204326000] CURRENT SERVICE STATE: log.int.op5.se;SSH Server;OK;HARD;1;SSH OK - OpenSSH_4.3 (protocol 1.99)
[1204326000] CURRENT SERVICE STATE: log.int.op5.se;Syslog process;OK;HARD;1;PROCS OK: 1 process with command name 'syslog-ng'
[1204326000] CURRENT SERVICE STATE: log.int.op5.se;System Load;OK;HARD;1;OK - load average: 0.12, 0.08, 0.08
[1204326000] CURRENT SERVICE STATE: log.int.op5.se;Total processes;OK;HARD;1;PROCS OK: 80 processes
[1204326000] CURRENT SERVICE STATE: log.int.op5.se;Zombie processes;OK;HARD;1;PROCS OK: 0 processes with STATE = Z
[1204326000] CURRENT SERVICE STATE: logserver-demo.op5.com;HTTP Server;CRITICAL;HARD;1;No route to host
[1204326000] CURRENT SERVICE STATE: logserver-demo.op5.com;HTTPS Server;CRITICAL;HARD;1;CRITICAL - Socket timeout after 10 seconds
[1204326000] CURRENT SERVICE STATE: logserver-demo.op5.com;PING;CRITICAL;HARD;1;CRITICAL - logserver-demo.op5.com: rta nan, lost 100%
[1204326000] CURRENT SERVICE STATE: logserver-demo.op5.com;SSH Server;CRITICAL;HARD;1;No route to host
[1204326000] CURRENT SERVICE STATE: logserver-sandbox.op5.com;HTTPS Server;CRITICAL;HARD;1;No route to host
[1204326000] CURRENT SERVICE STATE: logserver-sandbox.op5.com;PING;CRITICAL;HARD;1;CRITICAL - logserver-sandbox.op5.com: rta nan, lost 100%
[1204326000] CURRENT SERVICE STATE: mail.op5.se;Cron process;OK;HARD;1;PROCS OK: 1 process with command name 'crond'
[1204326000] CURRENT SERVICE STATE: mail.op5.se;Disk usage /;OK;HARD;1;DISK OK - free space: / 99341 MB (66% inode=97%):
[1204326000] CURRENT SERVICE STATE: mail.op5.se;HTTP Server;OK;HARD;1;HTTP OK - HTTP/1.1 302 Moved Temporarily - 0.004 second response time
[1204326000] CURRENT SERVICE STATE: mail.op5.se;HTTPS Server;OK;HARD;1;HTTP OK HTTP/1.1 200 OK - 3916 bytes in 0.297 seconds
[1204326000] CURRENT SERVICE STATE: mail.op5.se;IMAP over SSL;OK;HARD;1;TCP OK - 0.001 second response time on port 993
[1204326000] CURRENT SERVICE STATE: mail.op5.se;IMAPv2;OK;HARD;1;IMAP OK - 0.007 second response time on port 143 [* OK mail.op5.se Zimbra IMAP4rev1 service ready]
[1204326000] CURRENT SERVICE STATE: mail.op5.se;Kernel log process;OK;HARD;1;PROCS OK: 1 process with command name 'klogd'
[1204326000] CURRENT SERVICE STATE: mail.op5.se;PING;OK;HARD;1;OK - 193.201.96.20: rta 17.747ms, lost 0%
[1204326000] CURRENT SERVICE STATE: mail.op5.se;SMTP;OK;HARD;1;SMTP OK - 0.029 sec. response time
[1204326000] CURRENT SERVICE STATE: mail.op5.se;Syslog process;OK;HARD;1;PROCS OK: 1 process with command name 'syslogd'
[1204326000] CURRENT SERVICE STATE: mail.op5.se;System Load;OK;HARD;1;OK - load average: 1.17, 1.05, 1.22
[1204326000] CURRENT SERVICE STATE: mail.op5.se;Total processes;OK;HARD;1;PROCS OK: 147 processes
[1204326000] CURRENT SERVICE STATE: mail.op5.se;Zombie processes;OK;HARD;1;PROCS OK: 0 processes with STATE = Z
[1204326000] CURRENT SERVICE STATE: mail.op5.se;procs slauthd;OK;HARD;1;PROCS OK: 5 processes with command name 'saslauthd'
[1204326000] CURRENT SERVICE STATE: mon.int.op5.se;Disk usage /;OK;HARD;1;DISK OK - free space: / 98186 MB (95% inode=99%):
[1204326000] CURRENT SERVICE STATE: mon.int.op5.se;HTTPS;OK;HARD;1;HTTP OK HTTP/1.1 200 OK - 1780 bytes in 0.196 seconds
[1204326000] CURRENT SERVICE STATE: mon.int.op5.se;MYSQL;OK;HARD;1;Uptime: 8412447  Threads: 17  Questions: 26102333  Slow queries: 0  Opens: 0  Flush tables: 1  Open tables: 30  Queries per second avg: 3.103
[1204326000] CURRENT SERVICE STATE: mon.int.op5.se;SSH;OK;HARD;1;SSH OK - OpenSSH_4.3 (protocol 1.99)
[1204326000] CURRENT SERVICE STATE: mon.int.op5.se;Swap Usage;OK;HARD;1;SWAP OK - 99% free (978 MB out of 988 MB)
[1204326000] CURRENT SERVICE STATE: mon.int.op5.se;System Load;OK;HARD;1;OK - load average: 0.01, 0.07, 0.08
[1204326000] CURRENT SERVICE STATE: mon.int.op5.se;UPS - Battery charge;OK;HARD;1;UPS OK - Battery Charge: 100%
[1204326000] CURRENT SERVICE STATE: mon.int.op5.se;UPS - Load;OK;HARD;1;UPS OK - LOAD: 37%
[1204326000] CURRENT SERVICE STATE: mon.int.op5.se;UPS - Time;OK;HARD;1;UPS OK - Time Left: 30 mins
[1204326000] CURRENT SERVICE STATE: mon.int.op5.se;Users;OK;HARD;1;USERS OK - 0 users currently logged in
[1204326000] CURRENT SERVICE STATE: mon.int.op5.se;Zombie Processes;OK;HARD;1;PROCS OK: 1 process with STATE = Z
[1204326000] CURRENT SERVICE STATE: mon.int.op5.se;cron process;OK;HARD;1;PROCS OK: 1 process with command name 'crond'
[1204326000] CURRENT SERVICE STATE: mon.int.op5.se;syslogd process;OK;HARD;1;PROCS OK: 1 process with command name 'syslogd'
[1204326000] CURRENT SERVICE STATE: rc.op5.se;Cron process;CRITICAL;HARD;1;CHECK_NRPE: Socket timeout after 10 seconds.
[1204326000] CURRENT SERVICE STATE: rc.op5.se;Disk usage /;CRITICAL;HARD;1;Connection refused or timed out
[1204326000] CURRENT SERVICE STATE: rc.op5.se;Kernel log process;CRITICAL;HARD;1;Connection refused or timed out
[1204326000] CURRENT SERVICE STATE: rc.op5.se;PING;CRITICAL;HARD;1;CRITICAL - 193.201.96.8: rta nan, lost 100%
[1204326000] CURRENT SERVICE STATE: rc.op5.se;Syslog process;CRITICAL;HARD;1;CHECK_NRPE: Socket timeout after 10 seconds.
[1204326000] CURRENT SERVICE STATE: rc.op5.se;System Load;CRITICAL;HARD;1;Connection refused or timed out
[1204326000] CURRENT SERVICE STATE: rc.op5.se;Total processes;CRITICAL;HARD;1;Connection refused or timed out
[1204326000] CURRENT SERVICE STATE: rc.op5.se;Zombie processes;CRITICAL;HARD;1;CHECK_NRPE: Socket timeout after 10 seconds.
[1204326000] CURRENT SERVICE STATE: repos;HTTP Server;CRITICAL;HARD;1;No route to host
[1204326000] CURRENT SERVICE STATE: repos;PING;CRITICAL;HARD;1;CRITICAL - repos.op5.com: rta nan, lost 100%
[1204326000] CURRENT SERVICE STATE: repos;SSH Server;CRITICAL;HARD;1;No route to host
[1204326000] CURRENT SERVICE STATE: rt.op5.com;Cron process;OK;HARD;1;PROCS OK: 1 process with command name 'crond'
[1204326000] CURRENT SERVICE STATE: rt.op5.com;Disk usage /;OK;HARD;1;DISK OK - free space: / 13780 MB (74% inode=98%):
[1204326000] CURRENT SERVICE STATE: rt.op5.com;HTTP Server;OK;HARD;1;HTTP OK - HTTP/1.1 301 Moved Permanently - 0.022 second response time
[1204326000] CURRENT SERVICE STATE: rt.op5.com;Kernel log process;OK;HARD;1;PROCS OK: 1 process with command name 'klogd'
[1204326000] CURRENT SERVICE STATE: rt.op5.com;PING;OK;HARD;1;OK - 193.201.96.17: rta 7.272ms, lost 0%
[1204326000] CURRENT SERVICE STATE: rt.op5.com;SMTP;OK;HARD;1;SMTP OK - 0.052 sec. response time
[1204326000] CURRENT SERVICE STATE: rt.op5.com;Syslog process;OK;HARD;1;PROCS OK: 1 process with command name 'syslogd'
[1204326000] CURRENT SERVICE STATE: rt.op5.com;System Load;OK;HARD;1;OK - load average: 0.01, 0.05, 0.01
[1204326000] CURRENT SERVICE STATE: rt.op5.com;Total processes;OK;HARD;1;PROCS OK: 59 processes
[1204326000] CURRENT SERVICE STATE: rt.op5.com;Zombie processes;OK;HARD;1;PROCS OK: 0 processes with STATE = Z
[1204326000] CURRENT SERVICE STATE: sandbox.op5.com;HTTPS Server;CRITICAL;HARD;1;No route to host
[1204326000] CURRENT SERVICE STATE: sandbox.op5.com;PING;CRITICAL;HARD;1;CRITICAL - sandbox.op5.com: rta nan, lost 100%
[1204326000] CURRENT SERVICE STATE: sensatronics-senturion;PING;WARNING;HARD;3;WARNING - 192.168.1.74: rta 271.266ms, lost 0%
[1204326000] CURRENT SERVICE STATE: share-gbg.int.op5.se;Cron process;OK;HARD;1;PROCS OK: 1 process with command name 'crond'
